"country_id","source_id"
1,1
1,2
2,3
3,4
3,5
4,6
5,7
6,6
7,7
8,6
9,7
10,6
11,7
12,6
13,7
14,6
15,7
16,6
17,7
18,6
19,7
20,6
21,7
22,6
23,7
24,6
25,7
26,6
27,7
28,6
29,7
30,6
4,7
5,6
6,7
7,6
8,7
9,6
10,7
11,6
12,7
13,6
14,7
15,6
16,7
17,6
18,7
19,6
20,7
21,6
22,7
23,6
24,7
25,6
26,7
27,6
28,7
29,6
30,7
31,8
31,9
31,10
31,11
32,12
33,13
34,14
35,15
35,16
35,17
36,18
36,19
37,20
37,21
37,22
37,23
37,24
10,25
12,25
30,25
38,25
